,duration,followers,start_time,title,viewers,views,end_time
0,6.9,372,2020-05-12 23:01:00,SAW (this game suck?) SAW,8664,21873,2020-05-13 05:55:00
1,4.9,115,2020-05-07 22:41:00,Tiny Toons BUTTON MASHER Tiny Toon Adventures: Wacky Sports ChallengeVegas Stakes,6215,12644,2020-05-08 03:35:00
2,8.1,242,2020-05-06 22:58:00,R3SID3NT 3VIL E Resident Evil 3,6269,19639,2020-05-07 07:04:00
3,6.5,184,2020-05-05 22:56:00,Lightsabre Chores No More Heroes 2: Desperate Struggle,5589,14549,2020-05-06 05:26:00
4,6.4,210,2020-05-04 22:58:00,Are you preparedHUH 2 No More Heroes 2: Desperate Struggle,6100,16876,2020-05-05 05:22:00
5,5.7,124,2020-04-30 23:00:00,Little Marching Band Patapon 2,5433,14293,2020-05-01 04:42:00
6,7.3,189,2020-04-29 22:23:00,Mom said I need to get rid of all my toys today :( Gotcha Force,5114,20807,2020-04-30 05:41:00
7,6.1,198,2020-04-28 23:00:00,Filling my shelf with toys Gotcha Force,5354,19579,2020-04-29 05:06:00
8,5.8,259,2020-04-27 22:56:00,Robot Collectathon! POGFACE Gotcha Force,6417,21184,2020-04-28 04:44:00
9,5.5,298,2020-04-24 22:57:00,Public Domain Movie Night Just Chatting,7905,18080,2020-04-25 04:27:00
10,4.2,197,2020-04-23 23:01:00,Community Content Night Just Chatting,7559,12548,2020-04-24 03:13:00
11,5.3,247,2020-04-22 22:43:00,Crack Cash Flow Drug Dealer Simulator,7045,16688,2020-04-23 04:01:00
12,6.3,288,2020-04-19 22:53:00,Fake Crack Stream Drug Dealer Simulator,8049,19835,2020-04-20 05:11:00
13,7.7,212,2020-04-18 22:30:00,Huge Strong Baby (Also Playing The Hulk Today) The Incredible Hulk: Ultimate Destruction,4922,15636,2020-04-19 06:12:00
14,6.6,188,2020-04-17 23:00:00,Virtual Hulk Hands The Incredible Hulk: Ultimate Destruction,6426,17811,2020-04-18 05:36:00
15,5.0,89,2020-04-10 22:24:00,SlotsAndLanes 2 - Chuck E Cheese Style Casino Inc,5619,11672,2020-04-11 03:24:00
16,6.1,140,2020-04-09 22:57:00,"*Fingers Snappin* Trumpets blaring Jazz, Walkin around in a Suit Casino Inc",6211,14465,2020-04-10 05:03:00
17,6.0,191,2020-04-08 22:54:00,"If Viewtiful Joe appears as Smash DLC, I'll eat a shoe Viewtiful Joe",5795,16652,2020-04-09 04:54:00
18,5.0,185,2020-04-06 21:46:00,Mean Bugs Deadly Creatures,7406,19709,2020-04-07 02:46:00
19,3.7,96,2020-03-30 20:34:00,Shmup Ikaruga,5220,9585,2020-03-31 00:16:00
20,4.7,167,2020-03-29 22:22:00,Enjoying the Interactive Screen Saver for 3 hours Viva Pi̱ata: Trouble in Paradise,5513,10853,2020-03-30 03:04:00
21,4.5,107,2020-03-28 22:26:00,Alive Stuffed Animals Viva Pi̱ata: Trouble in Paradise,5133,11338,2020-03-29 02:56:00
22,7.6,246,2020-03-22 22:50:00,"Micro Games 500% Hurry GO GO GO GO Animal Crossing: New HorizonsUniversal Studios Theme Park AdventureWarioWare, Inc.: Mega Party Game$",7459,29089,2020-03-23 06:26:00
23,7.1,737,2020-03-21 22:50:00,Pickin up Apples and Carrots for 5+ hours Animal Crossing: New HorizonsCities: Skylines,7455,17478,2020-03-22 05:56:00
24,7.6,232,2020-03-20 23:08:00,Effieciency Cities: Skylines,6183,17101,2020-03-21 06:44:00
25,7.0,209,2020-03-16 22:31:00,"Chat whats this do, chat whats this do, chat whats this do The Binding of Isaac: Afterbirth",6118,14077,2020-03-17 05:31:00
26,6.8,187,2020-03-15 22:46:00,Screaming orders while I play pinball on the battlefield OdamaPok̩mon Channel,6693,32634,2020-03-16 05:34:00
27,4.4,104,2020-03-14 22:41:00,Battling Mr. Potato Heads Cabela's Deer Hunt: 2005 SeasonElebitsMonster Lab,5656,11543,2020-03-15 03:05:00
28,8.2,206,2020-03-13 22:22:00,Gamer Stream Pogress Runs The Binding of Isaac: Afterbirth,6462,16636,2020-03-14 06:34:00
29,4.8,205,2020-03-08 23:36:00,Community Content Night Just Chatting,8062,13565,2020-03-09 04:24:00
30,4.3,177,2020-03-08 00:59:00,Through The Ages Just Chatting,7641,10525,2020-03-08 05:17:00
31,6.5,148,2020-03-06 22:32:00,Finishing My Chores Super Mario SunshineThe BachelorThe Incredible Hulk,5774,12438,2020-03-07 05:02:00
32,6.5,189,2020-03-05 23:25:00,He thinks he's cleaning with cold water and no soap (pepeLaugh) Super Mario Sunshine,5711,12230,2020-03-06 05:55:00
33,7.4,202,2020-03-04 22:50:00,Guy with a mustache cleans your entire neighborhood Super Mario Sunshine,6420,13442,2020-03-05 06:14:00
34,4.1,99,2020-02-28 23:58:00,Viva Pinata until I'm Bored Viva Pi̱ata,5006,9124,2020-02-29 04:04:00
35,10.6,206,2020-02-27 22:00:00,I'm Helping Chibi-Robo!,4337,16886,2020-02-28 08:36:00
36,7.2,174,2020-02-26 21:52:00,The Ultimate Household Robot Chibi-Robo!,5118,14010,2020-02-27 05:04:00
37,7.2,269,2020-02-25 22:13:00,The Ultimate Household Robot Chibi-Robo!Cooking Mama: Cook Off,5971,16242,2020-02-26 05:25:00
38,9.4,174,2020-02-21 21:28:00,Spreading the Bovine Influence Black & White 2,4237,15087,2020-02-22 06:52:00
39,7.9,187,2020-02-20 22:10:00,Black & White 2,5301,16793,2020-02-21 06:04:00
40,3.2,92,2020-02-20 01:43:00,Mega Man Legends Finale Mega Man Legends,3958,5189,2020-02-20 04:55:00
41,3.2,95,2020-02-19 20:23:00,Mega Man Legends Ends Mega Man Legends,3856,5481,2020-02-19 23:35:00
42,8.7,259,2020-02-16 22:24:00,The Legendary Mega Man Mega Man Legends,4891,16788,2020-02-17 07:06:00
43,9.1,420,2020-02-15 20:27:00,Counting Paperclips ElderbornRain WorldSpeaking SimulatorUniversal Paperclips,6918,23210,2020-02-16 05:33:00
