,duration,followers,start_time,title,viewers,views,end_time
300,6.3,108,2018-08-10 22:34:00,Cooking a little snack 2 Overcooked! 2Regular Human BasketballWolfQuest,2640,12763,2018-08-11 04:52:00
301,3.3,124,2018-08-09 23:25:00,Scary Stories (Sleep with the LIGHTS ON TONIGHT) IRL,4049,9942,2018-08-10 02:43:00
302,5.2,101,2018-08-05 23:03:00,Western FPS Smash Bros. <---- Sky Noon,2973,12519,2018-08-06 04:15:00
303,6.8,122,2018-08-03 23:08:00,Fold Gold Nintendo Labo Variety Kit,3185,12482,2018-08-04 05:56:00
304,5.1,176,2018-08-01 22:20:00,"Grab that, Push that. Check Please Human: Fall Flat",4207,17364,2018-08-02 03:26:00
305,8.2,252,2018-07-30 22:40:00,DIY Nintendo Pizza Boxes Nintendo Labo Variety Kit,4445,18092,2018-07-31 06:52:00
306,2.7,53,2018-07-26 20:32:00,Chronic Napoleonic Holdfast: Nations At War,2344,7742,2018-07-26 23:14:00
307,8.3,207,2018-07-24 21:54:00,Bunker Builder House Flipper,3395,15061,2018-07-25 06:12:00
308,0.8,16,2018-07-21 21:13:00,"Another Day, Another Souls Dark Souls II: Scholar of the First Sin",2659,1609,2018-07-21 22:01:00
309,3.4,77,2018-07-20 23:03:00,Community Emote Contest GeoGuessrIRL,3472,7263,2018-07-21 02:27:00
310,6.4,150,2018-07-18 19:49:00,Shadow The Spiderman House FlipperPrototype,2938,11715,2018-07-19 02:13:00
311,2.4,44,2018-07-17 01:29:00,Smashing up Cars into lil Sardine Cans Wreckfest,2248,3662,2018-07-17 03:53:00
312,0.8,7,2018-07-16 22:55:00,Smashing up Cars into lil Sardine Cans Wreckfest,2472,2161,2018-07-16 23:43:00
313,4.6,72,2018-07-14 20:48:00,Saber Robots Clone Drone in the Danger Zone,3572,9266,2018-07-15 01:24:00
314,5.3,125,2018-07-12 23:19:00,World Dominance - 25% Destroy All Humans! 2PUBG MOBILE,2638,9270,2018-07-13 04:37:00
315,6.4,302,2018-07-10 21:51:00,Humanity Returns Destroy All Humans! 2,2881,12932,2018-07-11 04:15:00
316,4.6,72,2018-07-08 21:38:00,PVP and other multiplayer stuff Dark Souls,2345,7110,2018-07-09 02:14:00
317,7.1,121,2018-07-06 22:30:00,Drowning in the Remaster Dark Souls,2946,8942,2018-07-07 05:36:00
